State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Having_latrine_facility_within_the_premises_Total_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_3_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,sex_ratio,literacy_rate
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,261320,257760,323842,1615,186064,137778,479782,32455,1559,2745,1740,57,14,728,96082,21458,186395,13836,56272,96789,67653,64515,40440,15506,3252,499002,306555,130606,81566,353,52553,5229,6765,10046,20811,21669,31977,5475,986,62
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,217070,237698,358091,2521,180555,177536,449412,3711,243,591,95,293,9,414,104120,34978,196116,15232,37327,71107,72114,91184,64363,35620,5263,449529,224044,123941,106641,142,93858,6218,11549,16803,27573,19977,19251,3697,1095,79
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,593537,510748,653299,1196,408125,245174,1010014,91269,814,196,74,41,273,1604,55929,20175,256081,55300,159593,238344,211029,103334,59914,59612,4094,1200768,660774,260368,181109,2034,68771,7811,17299,17595,31830,39087,73892,22044,861,59
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,217070,237698,358091,2521,180555,177536,449412,3711,243,591,95,293,9,414,104120,34978,196116,15232,37327,71107,72114,91184,64363,35620,5263,449529,224044,123941,106641,142,93858,6218,11549,16803,27573,19977,19251,3697,1095,79
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,593537,510748,653299,1196,408125,245174,1010014,91269,814,196,74,41,273,1604,55929,20175,256081,55300,159593,238344,211029,103334,59914,59612,4094,1200768,660774,260368,181109,2034,68771,7811,17299,17595,31830,39087,73892,22044,861,59
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,750591,759484,1152640,8053,606443,546197,1461140,19797,3023,8929,14511,194,208,2273,330081,148361,588321,39007,127699,243617,223099,284124,192936,91236,13577,1448180,766581,419172,319420,4902,220258,15746,29154,49211,92030,71776,68294,10196,1012,76
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,46249,37872,60699,354,36697,24002,64732,448,485,249,18086,29,45,47,17865,10740,44514,0,9400,13749,11437,11140,7871,5118,713,76372,42360,26599,15075,87,13521,2813,2912,2817,3672,2934,3758,629,819,72
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,225452,212451,307672,2623,174550,133122,415669,2974,1568,1396,15377,94,83,742,91322,40064,167995,20709,48384,77363,61854,58122,39081,23168,2377,413485,244727,120510,72282,384,55831,6409,8723,11656,23630,18451,22985,3691,942,70
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,498065,501712,723747,5333,393669,330078,981412,9460,876,4081,2628,43,86,1191,214491,59324,431129,31696,100052,159043,132147,180188,128549,54139,9350,982038,524285,279321,194661,1510,181985,11117,20457,29022,59385,42061,48770,9182,1007,72
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,425039,388971,612642,9177,342846,269796,791449,11810,2025,4047,3262,185,197,1035,172754,108888,279269,95896,69967,113536,113305,141490,95341,80414,9748,761377,425721,241956,145577,756,123535,14631,18780,25892,44780,31618,37051,8018,915,75
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,276289,253566,362645,2220,205617,157028,476830,33215,577,15501,2645,236,86,765,91509,28904,171102,21054,57853,100123,78103,67080,38282,23352,4048,509327,310244,136839,82471,301,60246,4217,6645,9085,19481,18894,29490,9278,918,68
